,prices
2024-05-20 00:00:00,91.09
2024-05-20 01:00:00,82.64
2024-05-20 02:00:00,86.73
2024-05-20 03:00:00,86.09
2024-05-20 04:00:00,88.21
2024-05-20 05:00:00,91.46
2024-05-20 06:00:00,104.72
2024-05-20 07:00:00,105.69
2024-05-20 08:00:00,72.24
2024-05-20 09:00:00,32.8
2024-05-20 10:00:00,12.41
2024-05-20 11:00:00,6.06
2024-05-20 12:00:00,2.41
2024-05-20 13:00:00,0.0
2024-05-20 14:00:00,-0.33
2024-05-20 15:00:00,-0.07
2024-05-20 16:00:00,0.89
2024-05-20 17:00:00,64.17
2024-05-20 18:00:00,85.94
2024-05-20 19:00:00,113.63
2024-05-20 20:00:00,135.9
2024-05-20 21:00:00,120.33
2024-05-20 22:00:00,96.63
2024-05-20 23:00:00,79.86
2024-05-21 00:00:00,81.46
2024-05-21 01:00:00,76.4
2024-05-21 02:00:00,76.21
2024-05-21 03:00:00,77.92
2024-05-21 04:00:00,74.93
2024-05-21 05:00:00,79.58
2024-05-21 06:00:00,112.26
2024-05-21 07:00:00,122.98
2024-05-21 08:00:00,97.35
2024-05-21 09:00:00,81.86
2024-05-21 10:00:00,66.98
2024-05-21 11:00:00,54.42
2024-05-21 12:00:00,28.47
2024-05-21 13:00:00,31.34
2024-05-21 14:00:00,54.09
2024-05-21 15:00:00,69.65
2024-05-21 16:00:00,79.61
2024-05-21 17:00:00,87.98
2024-05-21 18:00:00,103.44
2024-05-21 19:00:00,126.98
2024-05-21 20:00:00,99.07
2024-05-21 21:00:00,83.58
2024-05-21 22:00:00,83.05
2024-05-21 23:00:00,65.91
2024-05-22 00:00:00,70.03
2024-05-22 01:00:00,66.4
2024-05-22 02:00:00,64.9
2024-05-22 03:00:00,54.12
2024-05-22 04:00:00,62.66
2024-05-22 05:00:00,70.2
2024-05-22 06:00:00,98.14
2024-05-22 07:00:00,103.12
2024-05-22 08:00:00,94.98
2024-05-22 09:00:00,81.21
2024-05-22 10:00:00,70.0
2024-05-22 11:00:00,69.78
2024-05-22 12:00:00,65.65
2024-05-22 13:00:00,56.91
2024-05-22 14:00:00,56.14
2024-05-22 15:00:00,67.17
2024-05-22 16:00:00,77.61
2024-05-22 17:00:00,92.45
2024-05-22 18:00:00,99.98
2024-05-22 19:00:00,147.02
2024-05-22 20:00:00,154.88
2024-05-22 21:00:00,135.99
2024-05-22 22:00:00,107.71
2024-05-22 23:00:00,93.22
2024-05-23 00:00:00,79.27
2024-05-23 01:00:00,78.45
2024-05-23 02:00:00,74.93
2024-05-23 03:00:00,76.68
2024-05-23 04:00:00,78.65
2024-05-23 05:00:00,84.8
2024-05-23 06:00:00,107.98
2024-05-23 07:00:00,118.0
2024-05-23 08:00:00,97.84
2024-05-23 09:00:00,75.65
2024-05-23 10:00:00,74.89
2024-05-23 11:00:00,64.1
2024-05-23 12:00:00,52.5
2024-05-23 13:00:00,45.31
2024-05-23 14:00:00,56.98
2024-05-23 15:00:00,71.4
2024-05-23 16:00:00,83.77
2024-05-23 17:00:00,96.64
2024-05-23 18:00:00,111.49
2024-05-23 19:00:00,156.28
2024-05-23 20:00:00,180.06
2024-05-23 21:00:00,155.98
2024-05-23 22:00:00,126.15
2024-05-23 23:00:00,105.03
2024-05-24 00:00:00,103.17
2024-05-24 01:00:00,94.12
2024-05-24 02:00:00,89.79
2024-05-24 03:00:00,88.22
2024-05-24 04:00:00,91.8
2024-05-24 05:00:00,103.23
2024-05-24 06:00:00,123.84
2024-05-24 07:00:00,122.07
2024-05-24 08:00:00,115.9
2024-05-24 09:00:00,106.1
2024-05-24 10:00:00,96.16
2024-05-24 11:00:00,90.07
2024-05-24 12:00:00,88.98
2024-05-24 13:00:00,87.74
2024-05-24 14:00:00,88.12
2024-05-24 15:00:00,88.18
2024-05-24 16:00:00,84.27
2024-05-24 17:00:00,98.79
2024-05-24 18:00:00,111.77
2024-05-24 19:00:00,129.99
2024-05-24 20:00:00,125.0
2024-05-24 21:00:00,115.84
2024-05-24 22:00:00,109.67
2024-05-24 23:00:00,99.84
2024-05-25 00:00:00,94.88
2024-05-25 01:00:00,91.83
2024-05-25 02:00:00,90.43
2024-05-25 03:00:00,89.16
2024-05-25 04:00:00,89.03
2024-05-25 05:00:00,90.26
2024-05-25 06:00:00,90.68
2024-05-25 07:00:00,86.23
2024-05-25 08:00:00,78.58
2024-05-25 09:00:00,74.75
2024-05-25 10:00:00,54.23
2024-05-25 11:00:00,9.34
2024-05-25 12:00:00,3.24
2024-05-25 13:00:00,0.04
2024-05-25 14:00:00,0.0
2024-05-25 15:00:00,0.02
2024-05-25 16:00:00,14.23
2024-05-25 17:00:00,76.04
2024-05-25 18:00:00,96.23
2024-05-25 19:00:00,115.77
2024-05-25 20:00:00,131.92
2024-05-25 21:00:00,136.95
2024-05-25 22:00:00,115.77
2024-05-25 23:00:00,104.54
2024-05-26 00:00:00,107.36
2024-05-26 01:00:00,98.3
2024-05-26 02:00:00,90.77
2024-05-26 03:00:00,90.1
2024-05-26 04:00:00,91.16
2024-05-26 05:00:00,88.61
2024-05-26 06:00:00,83.49
2024-05-26 07:00:00,71.9
2024-05-26 08:00:00,13.25
2024-05-26 09:00:00,0.02
2024-05-26 10:00:00,0.0
2024-05-26 11:00:00,-0.09
2024-05-26 12:00:00,-2.12
2024-05-26 13:00:00,-10.66
2024-05-26 14:00:00,-23.88
2024-05-26 15:00:00,-9.91
2024-05-26 16:00:00,-0.6
2024-05-26 17:00:00,57.0
2024-05-26 18:00:00,93.26
2024-05-26 19:00:00,118.08
2024-05-26 20:00:00,118.74
2024-05-26 21:00:00,121.1
2024-05-26 22:00:00,106.94
2024-05-26 23:00:00,87.5
