,prices
2024-07-15 00:00:00,68.77
2024-07-15 00:15:00,64.02
2024-07-15 00:30:00,67.13
2024-07-15 00:45:00,66.4
2024-07-15 01:00:00,63.59
2024-07-15 01:15:00,63.73
2024-07-15 01:30:00,66.45
2024-07-15 01:45:00,68.49
2024-07-15 02:00:00,62.93
2024-07-15 02:15:00,68.76
2024-07-15 02:30:00,81.7
2024-07-15 02:45:00,81.73
2024-07-15 03:00:00,69.55
2024-07-15 03:15:00,70.65
2024-07-15 03:30:00,83.97
2024-07-15 03:45:00,90.75
2024-07-15 04:00:00,74.06
2024-07-15 04:15:00,85.99
2024-07-15 04:30:00,108.58
2024-07-15 04:45:00,116.51
2024-07-15 05:00:00,335.75
2024-07-15 05:15:00,154.5
2024-07-15 05:30:00,90.84
2024-07-15 05:45:00,72.24
2024-07-15 06:00:00,153.16
2024-07-15 06:15:00,85.69
2024-07-15 06:30:00,77.57
2024-07-15 06:45:00,65.16
2024-07-15 07:00:00,89.98
2024-07-15 07:15:00,59.76
2024-07-15 07:30:00,60.61
2024-07-15 07:45:00,24.51
2024-07-15 08:00:00,83.97
2024-07-15 08:15:00,61.03
2024-07-15 08:30:00,55.12
2024-07-15 08:45:00,27.55
2024-07-15 09:00:00,55.35
2024-07-15 09:15:00,45.72
2024-07-15 09:30:00,44.05
2024-07-15 09:45:00,20.43
2024-07-15 10:00:00,55.29
2024-07-15 10:15:00,31.43
2024-07-15 10:30:00,26.17
2024-07-15 10:45:00,24.42
2024-07-15 11:00:00,15.57
2024-07-15 11:15:00,7.55
2024-07-15 11:30:00,1.05
2024-07-15 11:45:00,-2.57
2024-07-15 12:00:00,-4.15
2024-07-15 12:15:00,16.47
2024-07-15 12:30:00,24.9
2024-07-15 12:45:00,56.77
2024-07-15 13:00:00,-2.76
2024-07-15 13:15:00,43.72
2024-07-15 13:30:00,54.69
2024-07-15 13:45:00,75.55
2024-07-15 14:00:00,26.31
2024-07-15 14:15:00,59.75
2024-07-15 14:30:00,77.28
2024-07-15 14:45:00,105.85
2024-07-15 15:00:00,48.7
2024-07-15 15:15:00,79.05
2024-07-15 15:30:00,93.81
2024-07-15 15:45:00,184.96
2024-07-15 16:00:00,79.81
2024-07-15 16:15:00,123.82
2024-07-15 16:30:00,267.15
2024-07-15 16:45:00,759.21
2024-07-15 17:00:00,143.62
2024-07-15 17:15:00,369.76
2024-07-15 17:30:00,652.77
2024-07-15 17:45:00,997.06
2024-07-15 18:00:00,998.64
2024-07-15 18:15:00,888.11
2024-07-15 18:30:00,1269.28
2024-07-15 18:45:00,1095.14
2024-07-15 19:00:00,1288.7
2024-07-15 19:15:00,234.67
2024-07-15 19:30:00,136.6
2024-07-15 19:45:00,107.63
2024-07-15 20:00:00,183.33
2024-07-15 20:15:00,129.14
2024-07-15 20:30:00,121.78
2024-07-15 20:45:00,90.97
2024-07-15 21:00:00,111.85
2024-07-15 21:15:00,102.22
2024-07-15 21:30:00,81.82
2024-07-15 21:45:00,65.22
2024-07-15 22:00:00,96.01
2024-07-15 22:15:00,90.44
2024-07-15 22:30:00,75.33
2024-07-15 22:45:00,64.2
2024-07-15 23:00:00,87.78
2024-07-15 23:15:00,79.4
2024-07-15 23:30:00,70.18
2024-07-15 23:45:00,63.81
2024-07-16 00:00:00,81.1
2024-07-16 00:15:00,84.13
2024-07-16 00:30:00,121.43
2024-07-16 00:45:00,91.38
2024-07-16 01:00:00,89.71
2024-07-16 01:15:00,74.24
2024-07-16 01:30:00,73.17
2024-07-16 01:45:00,75.46
2024-07-16 02:00:00,71.44
2024-07-16 02:15:00,74.18
2024-07-16 02:30:00,86.33
2024-07-16 02:45:00,82.62
2024-07-16 03:00:00,72.77
2024-07-16 03:15:00,71.97
2024-07-16 03:30:00,84.71
2024-07-16 03:45:00,98.82
2024-07-16 04:00:00,77.57
2024-07-16 04:15:00,89.67
2024-07-16 04:30:00,93.47
2024-07-16 04:45:00,99.49
2024-07-16 05:00:00,113.48
2024-07-16 05:15:00,118.69
2024-07-16 05:30:00,119.12
2024-07-16 05:45:00,115.22
2024-07-16 06:00:00,154.07
2024-07-16 06:15:00,115.74
2024-07-16 06:30:00,90.76
2024-07-16 06:45:00,71.29
2024-07-16 07:00:00,147.15
2024-07-16 07:15:00,93.58
2024-07-16 07:30:00,72.38
2024-07-16 07:45:00,53.86
2024-07-16 08:00:00,100.68
2024-07-16 08:15:00,80.53
2024-07-16 08:30:00,57.72
2024-07-16 08:45:00,25.66
2024-07-16 09:00:00,73.25
2024-07-16 09:15:00,58.2
2024-07-16 09:30:00,44.47
2024-07-16 09:45:00,13.36
2024-07-16 10:00:00,60.23
2024-07-16 10:15:00,16.3
2024-07-16 10:30:00,10.8
2024-07-16 10:45:00,-7.78
2024-07-16 11:00:00,24.01
2024-07-16 11:15:00,3.07
2024-07-16 11:30:00,-5.24
2024-07-16 11:45:00,-14.79
2024-07-16 12:00:00,-5.52
2024-07-16 12:15:00,-5.64
2024-07-16 12:30:00,-9.23
2024-07-16 12:45:00,-6.98
2024-07-16 13:00:00,-21.11
2024-07-16 13:15:00,-9.38
2024-07-16 13:30:00,-1.9
2024-07-16 13:45:00,6.07
2024-07-16 14:00:00,-26.1
2024-07-16 14:15:00,-4.69
2024-07-16 14:30:00,5.16
2024-07-16 14:45:00,43.54
2024-07-16 15:00:00,-12.55
2024-07-16 15:15:00,28.71
2024-07-16 15:30:00,58.59
2024-07-16 15:45:00,80.68
2024-07-16 16:00:00,34.41
2024-07-16 16:15:00,56.53
2024-07-16 16:30:00,76.14
2024-07-16 16:45:00,111.93
2024-07-16 17:00:00,65.24
2024-07-16 17:15:00,74.71
2024-07-16 17:30:00,83.7
2024-07-16 17:45:00,136.75
2024-07-16 18:00:00,95.86
2024-07-16 18:15:00,104.21
2024-07-16 18:30:00,131.35
2024-07-16 18:45:00,188.93
2024-07-16 19:00:00,173.79
2024-07-16 19:15:00,103.72
2024-07-16 19:30:00,88.7
2024-07-16 19:45:00,84.24
2024-07-16 20:00:00,127.2
2024-07-16 20:15:00,94.67
2024-07-16 20:30:00,99.27
2024-07-16 20:45:00,85.3
2024-07-16 21:00:00,108.2
2024-07-16 21:15:00,89.34
2024-07-16 21:30:00,78.62
2024-07-16 21:45:00,69.51
2024-07-16 22:00:00,90.39
2024-07-16 22:15:00,87.1
2024-07-16 22:30:00,75.46
2024-07-16 22:45:00,74.09
2024-07-16 23:00:00,76.7
2024-07-16 23:15:00,79.99
2024-07-16 23:30:00,68.43
2024-07-16 23:45:00,64.6
2024-07-17 00:00:00,69.02
2024-07-17 00:15:00,71.61
2024-07-17 00:30:00,66.75
2024-07-17 00:45:00,63.84
2024-07-17 01:00:00,66.6
2024-07-17 01:15:00,63.27
2024-07-17 01:30:00,59.77
2024-07-17 01:45:00,52.5
2024-07-17 02:00:00,51.37
2024-07-17 02:15:00,48.4
2024-07-17 02:30:00,43.67
2024-07-17 02:45:00,38.26
2024-07-17 03:00:00,46.08
2024-07-17 03:15:00,46.73
2024-07-17 03:30:00,50.72
2024-07-17 03:45:00,58.69
2024-07-17 04:00:00,58.57
2024-07-17 04:15:00,65.32
2024-07-17 04:30:00,70.33
2024-07-17 04:45:00,68.24
2024-07-17 05:00:00,74.71
2024-07-17 05:15:00,67.64
2024-07-17 05:30:00,76.05
2024-07-17 05:45:00,72.1
2024-07-17 06:00:00,116.61
2024-07-17 06:15:00,83.71
2024-07-17 06:30:00,78.39
2024-07-17 06:45:00,60.11
2024-07-17 07:00:00,81.71
2024-07-17 07:15:00,67.52
2024-07-17 07:30:00,62.44
2024-07-17 07:45:00,44.74
2024-07-17 08:00:00,61.83
2024-07-17 08:15:00,40.67
2024-07-17 08:30:00,38.21
2024-07-17 08:45:00,22.04
2024-07-17 09:00:00,42.22
2024-07-17 09:15:00,42.13
2024-07-17 09:30:00,39.9
2024-07-17 09:45:00,27.27
2024-07-17 10:00:00,45.65
2024-07-17 10:15:00,42.25
2024-07-17 10:30:00,53.36
2024-07-17 10:45:00,45.06
2024-07-17 11:00:00,56.78
2024-07-17 11:15:00,56.44
2024-07-17 11:30:00,51.24
2024-07-17 11:45:00,43.78
2024-07-17 12:00:00,38.52
2024-07-17 12:15:00,40.82
2024-07-17 12:30:00,46.98
2024-07-17 12:45:00,45.57
2024-07-17 13:00:00,21.51
2024-07-17 13:15:00,35.36
2024-07-17 13:30:00,32.64
2024-07-17 13:45:00,38.44
2024-07-17 14:00:00,24.82
2024-07-17 14:15:00,41.4
2024-07-17 14:30:00,42.1
2024-07-17 14:45:00,55.1
2024-07-17 15:00:00,48.25
2024-07-17 15:15:00,62.32
2024-07-17 15:30:00,66.11
2024-07-17 15:45:00,85.04
2024-07-17 16:00:00,48.49
2024-07-17 16:15:00,66.05
2024-07-17 16:30:00,76.46
2024-07-17 16:45:00,95.17
2024-07-17 17:00:00,77.52
2024-07-17 17:15:00,76.83
2024-07-17 17:30:00,84.21
2024-07-17 17:45:00,107.53
2024-07-17 18:00:00,83.57
2024-07-17 18:15:00,95.64
2024-07-17 18:30:00,107.47
2024-07-17 18:45:00,149.13
2024-07-17 19:00:00,130.71
2024-07-17 19:15:00,102.38
2024-07-17 19:30:00,99.92
2024-07-17 19:45:00,95.9
2024-07-17 20:00:00,115.95
2024-07-17 20:15:00,92.75
2024-07-17 20:30:00,90.73
2024-07-17 20:45:00,85.2
2024-07-17 21:00:00,101.13
2024-07-17 21:15:00,86.75
2024-07-17 21:30:00,78.89
2024-07-17 21:45:00,68.75
2024-07-17 22:00:00,108.9
2024-07-17 22:15:00,103.16
2024-07-17 22:30:00,81.86
2024-07-17 22:45:00,77.97
2024-07-17 23:00:00,95.7
2024-07-17 23:15:00,85.4
2024-07-17 23:30:00,88.35
2024-07-17 23:45:00,82.89
2024-07-18 00:00:00,88.92
2024-07-18 00:15:00,79.61
2024-07-18 00:30:00,78.69
2024-07-18 00:45:00,81.78
2024-07-18 01:00:00,83.35
2024-07-18 01:15:00,78.01
2024-07-18 01:30:00,76.39
2024-07-18 01:45:00,77.34
2024-07-18 02:00:00,73.56
2024-07-18 02:15:00,75.52
2024-07-18 02:30:00,82.28
2024-07-18 02:45:00,89.3
2024-07-18 03:00:00,76.92
2024-07-18 03:15:00,83.63
2024-07-18 03:30:00,98.51
2024-07-18 03:45:00,101.6
2024-07-18 04:00:00,88.01
2024-07-18 04:15:00,93.23
2024-07-18 04:30:00,102.06
2024-07-18 04:45:00,103.48
2024-07-18 05:00:00,109.35
2024-07-18 05:15:00,98.8
2024-07-18 05:30:00,86.85
2024-07-18 05:45:00,75.6
2024-07-18 06:00:00,108.74
2024-07-18 06:15:00,86.36
2024-07-18 06:30:00,78.09
2024-07-18 06:45:00,60.95
2024-07-18 07:00:00,97.55
2024-07-18 07:15:00,74.82
2024-07-18 07:30:00,73.21
2024-07-18 07:45:00,62.16
2024-07-18 08:00:00,86.61
2024-07-18 08:15:00,75.16
2024-07-18 08:30:00,59.66
2024-07-18 08:45:00,24.35
2024-07-18 09:00:00,55.19
2024-07-18 09:15:00,15.92
2024-07-18 09:30:00,8.09
2024-07-18 09:45:00,-14.21
2024-07-18 10:00:00,28.57
2024-07-18 10:15:00,-0.05
2024-07-18 10:30:00,-0.74
2024-07-18 10:45:00,-20.21
2024-07-18 11:00:00,9.12
2024-07-18 11:15:00,-2.09
2024-07-18 11:30:00,-2.7
2024-07-18 11:45:00,-11.09
2024-07-18 12:00:00,-9.43
2024-07-18 12:15:00,9.19
2024-07-18 12:30:00,3.74
2024-07-18 12:45:00,34.54
2024-07-18 13:00:00,-21.24
2024-07-18 13:15:00,10.13
2024-07-18 13:30:00,14.09
2024-07-18 13:45:00,27.58
2024-07-18 14:00:00,-4.41
2024-07-18 14:15:00,43.47
2024-07-18 14:30:00,49.6
2024-07-18 14:45:00,70.0
2024-07-18 15:00:00,35.81
2024-07-18 15:15:00,61.69
2024-07-18 15:30:00,76.98
2024-07-18 15:45:00,93.76
2024-07-18 16:00:00,57.46
